Accession,Symbol.1,BioFraction,Channel,Genotype,Mixture,Subject,Residuals,Symbol
Q9JIX8,Acin1,0.983371500400051,0,0,0.000581739383315355,0,0.0160467602166337,Acin1
Q9JIY0,Plekho1,0.784621959139378,0.0023450677796867,0.0112713528122078,0.0489180920509125,0.00262674631055211,0.150216781907263,Plekho1
Q9JIY5,Htra2,0.943393471964568,3.12654783988723e-08,0.00905366762094222,0.0047536435934699,0,0.0427991855555411,Htra2
Q9JIZ9,Plscr3,0.956921569216929,0,0,0.00803347618269302,0.000282198342741086,0.0347627562576366,Plscr3
Q9JJ00,Plscr1,0.964905762179132,0,0,0,0.0166268190184132,0.0184674188024546,Plscr1
Q9JJ28,Flii,0.966550550912152,0,0,0.00642544097691158,0.00131873975006108,0.0257052683608757,Flii
Q9JJ43,Rbfox1,0.938271988566985,0,0,0.0171859370021433,0.00449917155894945,0.0400429028719226,Rbfox1
Q9JJ57,Kcnip1,0.842828422650432,0,0,0.0994665038895196,0,0.0577050734600482,Kcnip1
Q9JJ59,Abcb9,0.895205588261558,0.000656164196213995,0.0734308057490693,1.81101481657457e-11,0,0.0307074417750481,Abcb9
Q9JJ61,Galnt16,0.777233675304923,0.0105261497666147,2.54818632653377e-10,0.0559983152834257,0.0346591199510127,0.121582739439206,Galnt16
Q9JJ69,Kcnip2,0.66511454035874,0,0.010090624901068,0,0.0059753321415348,0.318819502598657,Kcnip2
Q9JJ80,Rpf2,0.966176636175203,0,0,0.020181486179163,0.00542342803037266,0.00821844961526159,Rpf2
Q9JJA2,Cog8,0.94635074521775,5.62241751150739e-10,5.30993105557682e-11,0.0121078576015563,0,0.0415413965653527,Cog8
Q9JJA4,Wdr12,0.888863045294598,0,0,0.0636441583041825,0.014562650758648,0.0329301456425715,Wdr12
Q9JJC6,Rilpl1,0.806909578467963,0,0.0122471546207007,0.0611289421516784,0,0.119714324759658,Rilpl1
Q9JJC9,Herpud2,0.74282332778344,0,0,0.0174485815018122,2.5340771837148e-11,0.239728090689407,Herpud2
Q9JJD0,Thap11,0.941676996516165,0,0,0.027614478875992,0.000881753419809403,0.0298267711880335,Thap11
Q9JJE4,Paqr4,0.893116821859595,0,0.00511071595023089,0.0242503625527153,0,0.0775220996374585,Paqr4
Q9JJF3,Riox1,0.958155826562053,0,0.000732231313475152,7.16768784790135e-09,0.00133129709775914,0.0397806378590253,Riox1
Q9JJF9,Sppl2a,0.978695128411168,0.00481417519883609,0,0,0.00413526449260467,0.0123554318973915,Sppl2a
Q9JJG0,Tacc2,0.852462470190262,0.0381550242415341,0,0,0.0132514545640866,0.0961310510041175,Tacc2
Q9JJG6,Tmem47,0.082468315492834,0,0,0.0132488242842913,0,0.904282860222875,Tmem47
Q9JJI6,Pigo,0.923015738283551,0,0.00672694114904398,0.0133601405697401,0,0.0568971799976647,Pigo
Q9JJI8,Rpl38,0.954196898227531,0,0.00893317891975908,0.00778421392664587,0.0054753117703138,0.0236103971557504,Rpl38
Q9JJJ7,Porcn,0.9150934927254,0,0.011113833355657,2.467749537043e-09,0.014012481517682,0.0597801899335113,Porcn
Q9JJK2,Lancl2,0.691954447891506,0.02172056210446,1.69738524175577e-10,0,0.25222644262701,0.0340985472072856,Lancl2
Q9JJL8,Sars2,0.981581133480548,0.00117356387173913,0.00280095510599301,0,0,0.0144443475417195,Sars2
Q9JJR8,Tmem9b,0.680749961930991,0,0.023482494837913,0,0.0115010801128519,0.284266463118245,Tmem9b
Q9JJR9,Nrip3,0.917160103215507,0,0.0027137954590354,0,0,0.0801261013254573,Nrip3
Q9JJT0,Rcl1,0.970779773697183,0.00160305785703988,1.02470235719973e-10,6.29469283025755e-11,0.00633274297769956,0.0212844253026604,Rcl1
Q9JJU8,Sh3bgrl,0.860158747769757,0.0222560114440764,3.38015841874192e-10,0.0243505714415286,1.20982049993333e-11,0.0932346689945237,Sh3bgrl
Q9JJV2,Pfn2,0.967170582972036,0,0,0,0,0.0328294170279642,Pfn2
Q9JJV5,Cacng3,0.893560992651229,0.00222565986161737,0.00492546843162687,0.0390894321028907,0.0194607253806627,0.0407377215719737,Cacng3
Q9JJW6,Alyref2,0.973634688472153,0,2.20760169119402e-11,9.48421691667119e-11,0.00800519733421455,0.0183601140767141,Alyref2
Q9JJX6,P2rx4,0.754482350213336,0,0,0.00866552073098917,8.25174593531247e-11,0.236852128973158,P2rx4
Q9JJY3,Smpd3,0.976351361355009,2.18962428261601e-11,0.00297058344237124,0.00112648442273154,0.00269793645820415,0.0168536342997883,Smpd3
Q9JJY4,Ddx20,0.954326951910425,0,0.000935172011637011,0.00141716313207426,0,0.0433207129458637,Ddx20
Q9JJZ2,Tuba8,0.623431286699868,0,1.81294605418645e-08,0.0719251886751263,0,0.304643506495546,Tuba8
Q9JJZ4,Ube2j1,0.973399155809636,0,0,0.00248953509760817,0.00148601628580554,0.0226252928069504,Ube2j1
Q9JK23,Psmg1,0.924166435011294,0,0,0.0248926113001882,0,0.0509409536885178,Psmg1
Q9JK42,Pdk2,0.944958498416845,0,0,0,0,0.0550415015831547,Pdk2
Q9JK45,Kcnq5,0.712016498421183,0,0,0,0,0.287983501578817,Kcnq5
Q9JK48,Sh3glb1,0.951971239614563,0,0,0.0117632822541957,0.00860419056092534,0.0276612875703157,Sh3glb1
