protein,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,isSingular
A2AQ19,Mutant-Control,0.0701654506335014,1.04983707375716,0.239981468713363,1.19597296003933,0.0586680911508184,34.0000127851207,FALSE
A2AQ25,Mutant-Control,0.0110033753072054,1.00765611790456,0.699949659405842,0.388661771394058,0.0283109276936045,34.0001081427677,FALSE
A2AQP0,Mutant-Control,0.554735984784448,1.4688997979576,0.000280042035728718,103.76624915729,0.0053460155810737,1.72645482885535,FALSE
A2AR02,Mutant-Control,-0.0393947639063681,0.973063078974034,0.256888317386732,-1.15315777796232,0.0341625098136876,34.0001780311578,FALSE
A2AR50,Mutant-Control,0.0278164571639268,1.01946797578951,0.54215399798306,0.615759055963584,0.0451742558952667,34.0000267428916,FALSE
A2ARP1,Mutant-Control,0.0621965489290508,1.04405415689001,0.0949615544528207,1.71762621590521,0.0362107589841789,34.0000490588181,FALSE
A2ARS0,Mutant-Control,-0.129266917817553,0.91429591691615,0.00384290729326076,-3.10294990392554,0.0416593634508948,34.0000566546098,FALSE
A2ARV4,Mutant-Control,0.0397790754956215,1.02795640035248,0.502472084806279,0.682952416132188,0.058245749712557,20.0000057367318,FALSE
A2ARZ3,Mutant-Control,0.00325092141010686,1.00225590774913,0.961541450418144,0.0485759726779569,0.0669244737858246,34.0000287681688,FALSE
A2ASQ1,Mutant-Control,0.0359075388876224,1.02520153147876,0.291273548537279,1.07199314009655,0.0334960528612976,34.0000528972416,FALSE
A2ASZ8,Mutant-Control,-0.131148214889834,0.913104437652572,0.254727187654954,-1.15851396038282,0.113203827812742,34.0000075257246,FALSE
A2AWA9,Mutant-Control,0.0592233242871982,1.04190469983089,0.0163730628752131,2.52571211073641,0.0234481689482539,34.000118123113,FALSE
A2AWP8,Mutant-Control,-9.13791156040844e-05,0.99993666282954,0.997471279290513,-0.0031926729889874,0.028621508033952,34.0000765585123,FALSE
A2BDX3,Mutant-Control,-0.0571818617737101,0.961139762380342,0.000829652430384534,-3.66775804080672,0.0155904127637419,34.0002715285952,FALSE
A2BE28,Mutant-Control,0.0169254621124546,1.01180092424656,0.807070689075399,0.24611799934881,0.068769704602007,34.0000348825353,FALSE
A2CG49,Mutant-Control,-0.0516325665924944,0.964843884974823,0.0408529931052072,-2.12592530699748,0.0242871028547173,34.0000905216437,FALSE
A2RSJ4,Mutant-Control,0.0985325574453126,1.07068385846742,0.0285865429443093,2.28633926639002,0.0430962101267188,34.0000385813278,FALSE
A2RSQ0,Mutant-Control,-0.034194354627366,0.976576959204982,0.226475839458518,-1.23179896903852,0.027759687649403,34.000096798485,FALSE
A2RSX7,Mutant-Control,-0.0224760177565848,0.984541539456333,0.624422951457952,-0.494085493877539,0.0454901389235192,34.0000492644867,FALSE
A2RSY1,Mutant-Control,0.0635557839853487,1.04503827597965,0.511528488752272,0.663430404051555,0.0957987207056157,34.0000070205265,FALSE
A2RSY6,Mutant-Control,-0.0836491967902617,0.943667683587963,0.410977293363152,-0.83242655292365,0.100488381222906,33.9999976290549,FALSE
